Australian Bureau of Statistics

"2021 Census - counting persons, 15 years and over"
"LGA (UR) and INGP Indigenous Status by LFSP Labour Force Status"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

,"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"LGA (UR)","INGP Indigenous Status",
"Albury","Non-Indigenous",15092,9099,1425,660,563,14533,503,0,41881,
,"Aboriginal",327,256,40,49,37,532,22,0,1260,
,"Torres Strait Islander",5,3,4,3,0,9,3,0,30,
,"Both Aboriginal and Torres Strait Islander",9,8,0,0,0,14,0,0,32,
,"Not stated",47,33,3,3,0,138,2101,0,2319,
"Armidale Regional","Non-Indigenous",7032,4340,755,299,320,7227,199,0,20186,
,"Aboriginal",300,223,58,58,29,670,41,0,1377,
,"Torres Strait Islander",3,0,0,0,0,7,0,0,17,
,"Both Aboriginal and Torres Strait Islander",5,0,0,0,0,11,0,0,20,
,"Not stated",26,7,9,3,3,82,2166,0,2287,
"Ballina","Non-Indigenous",10247,8406,1385,305,375,14356,489,0,35563,
,"Aboriginal",290,260,54,31,18,494,30,0,1190,
,"Torres Strait Islander",11,11,0,0,0,13,0,0,37,
,"Both Aboriginal and Torres Strait Islander",6,12,0,0,0,8,0,0,28,
,"Not stated",40,40,10,3,0,166,1682,0,1939,
"Balranald","Non-Indigenous",603,273,50,14,7,455,36,0,1448,
,"Aboriginal",23,7,11,3,3,38,0,0,85,
,"Torres Strait Islander",0,0,0,0,0,0,0,0,0,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,0,5,
,"Not stated",0,0,0,0,0,0,234,0,234,
"Bathurst Regional","Non-Indigenous",11855,6372,1146,409,344,11189,332,0,31639,
,"Aboriginal",538,353,82,62,42,899,33,0,2006,
,"Torres Strait Islander",9,3,0,0,0,14,0,0,30,
,"Both Aboriginal and Torres Strait Islander",9,8,3,0,5,25,0,0,46,
,"Not stated",42,29,14,0,6,86,1495,0,1667,
"Bayside (NSW)","Non-Indigenous",48324,25652,10073,2808,2120,48323,2456,0,139758,
,"Aboriginal",504,230,124,34,21,456,20,0,1390,
,"Torres Strait Islander",12,6,0,0,4,14,0,0,36,
,"Both Aboriginal and Torres Strait Islander",21,9,5,0,0,13,0,0,44,
,"Not stated",93,46,34,7,5,267,7010,0,7463,
"Bega Valley","Non-Indigenous",7372,6002,1072,241,250,12347,332,0,27620,
,"Aboriginal",199,188,48,24,21,358,36,0,867,
,"Torres Strait Islander",5,3,0,0,0,12,5,0,18,
,"Both Aboriginal and Torres Strait Islander",3,0,4,0,0,6,0,0,13,
,"Not stated",36,34,3,0,5,147,1765,0,1991,
"Bellingen","Non-Indigenous",2421,2363,347,143,144,4340,162,0,9924,
,"Aboriginal",97,87,12,5,6,137,7,0,347,
,"Torres Strait Islander",0,0,0,0,0,5,0,0,9,
,"Both Aboriginal and Torres Strait Islander",3,0,0,0,0,3,0,0,9,
,"Not stated",16,12,8,0,3,43,670,0,743,
"Berrigan","Non-Indigenous",1917,1171,248,55,49,2853,216,0,6514,
,"Aboriginal",49,38,6,0,8,59,4,0,158,
,"Torres Strait Islander",3,0,0,0,0,0,0,0,3,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,0,3,
,"Not stated",8,13,0,0,0,23,604,0,653,
"Blacktown","Non-Indigenous",102688,45322,23356,6076,4305,99066,3558,0,284372,
,"Aboriginal",1509,856,713,251,142,3620,162,0,7240,
,"Torres Strait Islander",37,18,17,3,0,78,14,0,172,
,"Both Aboriginal and Torres Strait Islander",26,19,10,3,4,74,11,0,145,
,"Not stated",188,87,91,26,13,519,13804,0,14721,
"Bland","Non-Indigenous",1521,725,158,47,20,1315,59,0,3845,
,"Aboriginal",79,50,7,3,3,74,5,0,221,
,"Torres Strait Islander",0,0,0,0,0,4,0,0,0,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,0,3,
,"Not stated",4,0,3,0,0,19,355,0,386,
"Blayney","Non-Indigenous",2064,1057,207,89,47,1792,66,0,5323,
,"Aboriginal",91,42,18,15,5,83,0,0,249,
,"Torres Strait Islander",6,0,0,0,0,0,0,0,5,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,0,0,
,"Not stated",13,4,4,0,0,25,348,0,395,
"Blue Mountains","Non-Indigenous",18694,12519,4148,734,656,23795,523,0,61069,
,"Aboriginal",455,267,116,27,22,475,9,0,1373,
,"Torres Strait Islander",3,0,0,4,0,5,0,0,18,
,"Both Aboriginal and Torres Strait Islander",4,0,0,0,0,3,5,0,18,
,"Not stated",49,21,10,0,8,246,1680,0,2019,
"Bogan","Non-Indigenous",726,225,63,27,9,465,36,0,1550,
,"Aboriginal",104,56,8,10,0,90,9,0,273,
,"Torres Strait Islander",0,0,0,0,0,0,0,0,0,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,0,0,
,"Not stated",3,0,0,0,0,8,141,0,164,
