Australian Bureau of Statistics

"2021 Census - counting persons, 15 years and over"
"LGA (UR) and INGP Indigenous Status by INCP Total Personal Income (weekly)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

,"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)","INGP Indigenous Status",
"Albury","Non-Indigenous",252,2366,1371,2097,3401,3878,3706,3637,4367,4577,3235,2535,1777,2532,414,748,980,0,41881,
,"Aboriginal",28,101,65,104,131,117,143,120,125,102,78,46,29,27,5,12,37,0,1260,
,"Torres Strait Islander",0,0,0,4,3,0,5,3,0,3,4,0,0,0,0,0,0,0,30,
,"Both Aboriginal and Torres Strait Islander",0,6,4,6,0,0,0,3,0,5,0,0,0,0,0,0,0,0,32,
,"Not stated",10,19,7,17,29,34,18,17,24,12,5,6,5,6,0,0,2108,0,2319,
"Armidale Regional","Non-Indigenous",143,1351,808,1171,1729,1754,1856,1774,1881,1966,1337,1117,847,1381,242,422,401,0,20186,
,"Aboriginal",33,117,57,134,190,177,145,124,117,75,58,38,26,14,3,6,58,0,1377,
,"Torres Strait Islander",0,0,0,5,0,0,0,0,0,7,0,0,0,4,0,0,3,0,17,
,"Both Aboriginal and Torres Strait Islander",0,0,0,3,3,0,5,0,0,3,0,4,0,3,0,0,0,0,20,
,"Not stated",0,10,3,12,8,21,7,21,7,7,8,3,3,5,0,0,2164,0,2287,
"Ballina","Non-Indigenous",204,1673,1258,1698,3124,3662,3568,3214,3539,3551,2286,1944,1364,2127,409,874,1058,0,35563,
,"Aboriginal",20,68,53,117,142,127,116,90,104,82,65,51,28,37,12,26,54,0,1190,
,"Torres Strait Islander",0,3,0,0,0,4,8,7,4,0,6,0,0,0,0,0,0,0,37,
,"Both Aboriginal and Torres Strait Islander",0,0,0,5,4,0,0,3,0,3,0,0,0,0,0,0,9,0,28,
,"Not stated",3,20,14,13,27,56,25,20,22,8,9,7,6,3,0,0,1698,0,1939,
"Balranald","Non-Indigenous",15,109,41,64,111,135,134,113,163,171,99,59,57,66,12,24,74,0,1448,
,"Aboriginal",3,6,3,9,6,7,3,9,9,10,3,3,0,0,0,0,4,0,85,
,"Torres Strait Islander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Both Aboriginal and Torres Strait Islander",0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
