Australian Bureau of Statistics

"2021 Census - counting persons, place of enumeration"
"LGA (EN) and INGP Indigenous Status by INCP Total Personal Income (weekly)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

,"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)","Not stated","Not applicable","Overseas visitor","Total",
"LGA (EN)","INGP Indigenous Status",
"Albury","Non-Indigenous",256,2387,1385,2090,3352,3852,3678,3585,4363,4538,3214,2530,1752,2540,421,749,1007,9207,0,50906,
,"Aboriginal",25,97,62,109,129,116,142,124,122,96,77,51,27,25,5,12,39,765,0,2026,
,"Torres Strait Islander",0,0,0,4,3,0,5,3,0,3,4,0,0,0,0,0,0,12,0,43,
,"Both Aboriginal and Torres Strait Islander",0,6,4,6,4,0,0,3,3,6,0,0,0,0,0,0,0,31,0,64,
"Armidale Regional","Non-Indigenous",146,1296,783,1144,1723,1715,1832,1741,1866,1950,1308,1108,842,1385,250,416,395,3951,0,23829,
,"Aboriginal",30,119,62,117,180,171,149,119,118,74,61,41,25,15,3,11,64,751,0,2121,
,"Torres Strait Islander",0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,10,0,25,
,"Both Aboriginal and Torres Strait Islander",0,0,0,3,6,0,5,0,0,3,0,4,0,3,0,0,0,20,0,43,
"Ballina","Non-Indigenous",207,1696,1257,1707,3125,3650,3582,3223,3556,3542,2285,1964,1369,2132,409,866,1076,6613,0,42263,
,"Aboriginal",22,72,53,122,146,132,116,89,109,80,68,54,28,37,8,26,64,528,0,1741,
,"Torres Strait Islander",0,3,0,0,0,4,8,7,4,0,4,0,0,0,0,0,0,11,0,50,
,"Both Aboriginal and Torres Strait Islander",0,0,0,5,4,0,0,3,0,3,0,0,0,0,0,0,9,16,0,44,
"Balranald","Non-Indigenous",16,111,36,56,120,134,135,112,169,196,97,68,69,73,14,26,73,334,0,1849,
,"Aboriginal",3,6,3,9,6,12,3,12,11,10,3,3,0,0,0,0,4,44,0,125,
,"Torres Strait Islander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,
"Bathurst Regional","Non-Indigenous",188,2026,1141,1444,2420,2745,2519,2512,3021,3090,2372,1978,1558,2400,344,523,1407,6762,0,38454,
