Australian Bureau of Statistics

"2021 Census - counting persons, place of enumeration"
"LGA (EN) and INGP Indigenous Status by LFSP Labour Force Status"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

,"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Overseas visitor","Total",
"LGA (EN)","INGP Indigenous Status",
"Albury","Non-Indigenous",15117,9133,1383,668,578,14302,520,9207,0,50906,
,"Aboriginal",328,253,38,53,38,533,27,765,0,2026,
,"Torres Strait Islander",5,3,4,3,5,9,3,12,0,43,
,"Both Aboriginal and Torres Strait Islander",10,8,0,0,0,15,0,31,0,64,
"Armidale Regional","Non-Indigenous",7014,4314,733,307,310,7011,194,3951,0,23829,
,"Aboriginal",289,223,61,59,30,656,46,751,0,2121,
,"Torres Strait Islander",8,0,0,0,0,5,0,10,0,25,
,"Both Aboriginal and Torres Strait Islander",9,0,0,0,0,11,0,20,0,43,
"Ballina","Non-Indigenous",10274,8426,1385,320,381,14373,497,6613,0,42263,
,"Aboriginal",286,269,61,32,16,513,33,528,0,1741,
,"Torres Strait Islander",8,11,0,0,0,13,0,11,0,50,
,"Both Aboriginal and Torres Strait Islander",4,12,0,0,0,8,0,16,0,44,
"Balranald","Non-Indigenous",649,272,54,16,6,477,34,334,0,1849,
,"Aboriginal",26,11,7,3,3,39,0,44,0,125,
,"Torres Strait Islander",0,0,0,0,0,0,0,0,0,0,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,4,0,4,0,15,
"Bathurst Regional","Non-Indigenous",11891,6447,1148,420,360,11094,333,6762,0,38454,
,"Aboriginal",547,361,86,64,38,946,37,1032,0,3105,
,"Torres Strait Islander",8,3,0,0,0,14,0,6,0,43,
,"Both Aboriginal and Torres Strait Islander",7,11,3,0,5,25,0,28,0,72,
"Bayside (NSW)","Non-Indigenous",48176,25653,10102,2812,2133,48347,2322,24783,0,164335,
,"Aboriginal",496,230,118,34,21,455,21,469,0,1846,
,"Torres Strait Islander",12,12,0,0,4,13,0,16,0,51,
,"Both Aboriginal and Torres Strait Islander",20,9,5,0,0,13,0,12,0,59,
"Bega Valley","Non-Indigenous",7476,6070,1091,259,255,12352,325,4640,0,32473,
,"Aboriginal",199,193,47,30,16,353,37,475,0,1349,
,"Torres Strait Islander",3,3,0,0,0,12,5,0,0,22,
,"Both Aboriginal and Torres Strait Islander",3,5,4,0,0,6,0,11,0,26,
"Bellingen","Non-Indigenous",2431,2390,364,150,144,4496,162,1849,0,11988,
,"Aboriginal",94,89,13,11,8,145,9,191,0,551,
,"Torres Strait Islander",3,5,0,0,0,5,0,3,0,15,
,"Both Aboriginal and Torres Strait Islander",3,0,0,0,0,3,0,5,0,11,
"Berrigan","Non-Indigenous",1920,1165,229,55,47,2727,217,1112,0,7469,
,"Aboriginal",48,34,3,0,8,58,7,93,0,247,
,"Torres Strait Islander",3,0,0,0,0,0,0,4,0,7,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,0,0,4,
"Blacktown","Non-Indigenous",102452,45235,23311,6055,4303,98991,3508,81275,0,365133,
,"Aboriginal",1495,853,718,247,135,3646,163,4094,0,11347,
,"Torres Strait Islander",39,19,17,3,0,76,13,55,0,222,
,"Both Aboriginal and Torres Strait Islander",21,21,11,3,6,73,6,119,0,267,
"Bland","Non-Indigenous",1675,729,163,49,25,1313,60,843,0,4850,
,"Aboriginal",91,54,10,0,3,79,5,136,0,366,
,"Torres Strait Islander",0,0,0,0,0,4,0,0,0,0,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,4,0,6,
"Blayney","Non-Indigenous",2053,1043,190,87,53,1761,66,1272,0,6530,
,"Aboriginal",90,37,16,12,5,80,0,170,0,413,
,"Torres Strait Islander",6,0,0,0,0,0,0,0,0,6,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,0,0,0,
"Blue Mountains","Non-Indigenous",18727,12508,4155,740,664,23767,483,12499,0,73541,
,"Aboriginal",454,268,118,22,22,484,5,685,0,2054,
,"Torres Strait Islander",3,0,0,4,0,3,0,3,0,26,
,"Both Aboriginal and Torres Strait Islander",4,0,0,0,0,5,5,10,0,20,
"Bogan","Non-Indigenous",779,236,76,22,9,484,41,301,0,1947,
,"Aboriginal",109,56,8,10,0,83,3,156,0,425,
,"Torres Strait Islander",0,0,0,0,0,0,0,0,0,0,
,"Both Aboriginal and Torres Strait Islander",0,0,0,0,0,0,0,4,0,3,
"Bourke","Non-Indigenous",626,167,71,13,0,296,27,226,0,1438,
,"Aboriginal",142,54,15,9,6,225,52,200,0,703,
,"Torres Strait Islander",0,0,0,0,0,0,0,0,0,3,
,"Both Aboriginal and Torres Strait Islander",0,3,0,0,0,0,0,0,0,9,
"Brewarrina","Non-Indigenous",230,47,13,0,0,131,6,63,0,502,
,"Aboriginal",93,59,16,13,12,309,18,166,0,690,
