Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.2,2022-23,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,614,123,377,218,78,26,30,244,1709
6A.2,2022-23,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,58,11,18,20,1,10,7,12,138
6A.2,2022-23,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,672,134,395,238,79,37,37,255,1847
6A.2,2022-23,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,3.2,0.6,2.3,2.6,1.3,1.9,3.1,12.5,2.3
6A.2,2022,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,153.3,35.7,130.6,61.4,24.9,16.3,5.2,47.2,474.7
6A.2,2022,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,3.2,0.9,4.2,3.7,2.4,5,1.8,29.6,3.1
6A.2,2021-22,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,625,117,372,230,72,28,29,228,1702
6A.2,2021-22,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,63,9,22,26,2,4,10,14,150
6A.2,2021-22,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,688,126,394,256,74,32,39,242,1851
6A.2,2021-22,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,3.3,0.6,2.3,2.8,1.3,1.7,3.6,12.2,2.3
6A.2,2021,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,150.2,34.7,127.4,60.1,24.4,16,5,46.5,464.6
6A.2,2021,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS (unpublished) National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,3.1,0.9,4.2,3.8,2.4,5.3,1.9,29.8,3.1
6A.2,2020-21,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,644,108,355,220,80,29,29,201,1666
6A.2,2020-21,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,69,3,6,27,2,8,6,29,151
6A.2,2020-21,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,713,111,360,248,82,37,36,230,1816
6A.2,2020-21,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,3.3,0.5,2.3,2.7,1.4,2,3.3,11.4,2.3
