Table_Number,Year,Measure,Indigenous_Status,Law_Enforced,Court_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust cts,Aust
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Supreme,,Criminal lodgments,Supreme courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,8.6,na,7.6,14.5,13,na,16.7,78.3,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,District/county,,Criminal lodgments,District/county courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,21.2,31.5,13.1,..,..,..,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (excl. children's),,Criminal lodgments,Magistrates' courts,Magistrates' courts only (excl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,21.8,35.3,19.8,na,8.9,83.7,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Children's,,Criminal lodgments,Magistrates' courts,Children's courts,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,52.7,62.6,51.2,na,18.1,96.4,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (total),,Criminal lodgments,Magistrates' courts,Total magistrates' courts (incl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,24.7,37.6,22.2,na,9.6,85.6,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,All criminal courts,,Criminal lodgments,All criminal courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,24.4,37.4,21.9,na,9.9,85.2,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Supreme,,Criminal finalisations,Supreme courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,18.9,na,7,30.4,19,na,16.1,73.6,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,District/county,,Criminal finalisations,District/county courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,21.2,31.4,14.1,..,..,..,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (excl. children's),,Criminal finalisations,Magistrates' courts,Magistrates' courts only (excl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,21.8,33.8,19.4,na,8.9,81.9,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Children's,,Criminal finalisations,Magistrates' courts,Children's courts,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,52.5,62.9,46.2,na,16.6,94.8,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (total),,Criminal finalisations,Magistrates' courts,Total magistrates' courts (incl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,24.6,36.1,21.7,na,9.5,83.9,,
7A.9,2022-23,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,All criminal courts,,Criminal finalisations,All criminal courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,24.3,36,21.4,na,9.7,83.4,,
7A.9,2022,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,,,,Aboriginal and Torres Strait Islander population,at 31 December,,,,,Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,3.6,1,4.8,4,2.6,5.5,2,31.7,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Supreme,,Criminal lodgments,Supreme courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,11.7,na,7.9,24.5,14.7,na,14.6,71.9,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,District/county,,Criminal lodgments,District/county courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,19.8,32,16.5,..,..,..,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (excl. children's),,Criminal lodgments,Magistrates' courts,Magistrates' courts only (excl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,21.5,31.3,20.4,na,7,79.2,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Children's,,Criminal lodgments,Magistrates' courts,Children's courts,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,50.2,61.4,45.8,na,14.5,94.8,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (total),,Criminal lodgments,Magistrates' courts,Total magistrates' courts (incl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,24.3,33.9,22.4,na,7.3,81.9,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,All criminal courts,,Criminal lodgments,All criminal courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,23.9,33.8,22.1,na,7.6,81.4,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Supreme,,Criminal finalisations,Supreme courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,18.9,na,8.4,20,14,na,17.7,69.4,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,District/county,,Criminal finalisations,District/county courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,19.2,30.3,17.1,..,..,..,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (excl. children's),,Criminal finalisations,Magistrates' courts,Magistrates' courts only (excl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,21,30.7,20.9,na,6.3,79.2,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Children's,,Criminal finalisations,Magistrates' courts,Children's courts,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,48,60.1,43.6,na,10.6,96,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (total),,Criminal finalisations,Magistrates' courts,Total magistrates' courts (incl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,23.6,33.1,22.4,na,6.4,82.2,,
7A.9,2021-22,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,All criminal courts,,Criminal finalisations,All criminal courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,23.3,33,22.2,na,6.8,81.5,,
7A.9,2021,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,,,,Aboriginal and Torres Strait Islander population,at 31 December,,,,,Derived from ABS (unpublished) National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,3.6,1,4.7,4.1,2.6,5.7,2,32,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Supreme,,Criminal lodgments,Supreme courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,11.5,na,9.4,19.6,32.8,na,20.2,68.2,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,District/county,,Criminal lodgments,District/county courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,20.3,29.8,16,..,..,..,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (excl. children's),,Criminal lodgments,Magistrates' courts,Magistrates' courts only (excl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,20.6,29.5,20.6,na,8.7,79.2,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Children's,,Criminal lodgments,Magistrates' courts,Children's courts,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,46.3,57,39.1,na,18.2,92,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (total),,Criminal lodgments,Magistrates' courts,Total magistrates' courts (incl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,22.9,31.2,21.7,na,9.2,80.9,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,All criminal courts,,Criminal lodgments,All criminal courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,22.7,31.1,21.5,na,9.6,80.4,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Supreme,,Criminal finalisations,Supreme courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,4.8,na,7.9,29.9,34,na,17.2,62.9,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,District/county,,Criminal finalisations,District/county courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,20.1,31,14.8,..,..,..,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (excl. children's),,Criminal finalisations,Magistrates' courts,Magistrates' courts only (excl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,20.3,29.2,20.1,na,8.5,77.1,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Children's,,Criminal finalisations,Magistrates' courts,Children's courts,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,48.3,58.2,43.4,na,18.6,89.9,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,Magistrates' (total),,Criminal finalisations,Magistrates' courts,Total magistrates' courts (incl. children's courts),Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,23,30.9,21.5,na,9,78.6,,
7A.9,2020-21,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,Criminal,All criminal courts,,Criminal finalisations,All criminal courts,,Non-appeal,Aboriginal and Torres Strait Islander,,Derived from State and territory court authorities and departments (unpublished),%,na,na,22.7,30.9,21.4,na,9.3,78.1,,
7A.9,2020,Lodgments and finalisations,Aboriginal and Torres Strait Islander people,,,,Aboriginal and Torres Strait Islander population,at 31 December,,,,,Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,3.5,1,4.7,4.1,2.6,5.6,2,31.6,,
7A.1,2022-23,Lodgments,All people,Criminal,All criminal courts,,Lodgments; criminal,,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished),no.,211717,154401,194326,87779,40854,16614,7560,13048,,726299
7A.1,2022-23,Lodgments,All people,Criminal,Supreme,,Lodgments; criminal,,Supreme courts,Appeal,,,State and territory court authorities and departments (unpublished),no.,339,275,274,239,162,19,66,13,,1387
7A.1,2022-23,Lodgments,All people,Criminal,Supreme,,Lodgments; criminal,,Supreme courts,Non-appeal,,,State and territory court authorities and departments (unpublished),no.,70,84,1903,55,77,612,330,720,,3851
7A.1,2022-23,Lodgments,All people,Criminal,Supreme,,Lodgments; criminal,,Supreme courts,Total,,,Derived from State and territory court authorities and departments (unpublished),no.,409,359,2177,294,239,631,396,733,,5238
7A.1,2022-23,Lodgments,All people,Criminal,District/county,,Lodgments; criminal,,District/county courts,Appeal,,,State and territory court authorities and departments (unpublished),no.,7109,1550,291,..,..,..,..,..,,8950
