Table_Number,Year,Measure,Age,Sex,Indigenous_Status,CS_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
8A.4,2022-23,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Daily average,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished),no.,3646,800,3607,2667,741,152,112,1766,13492
8A.4,2022-23,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Daily average,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished),%,29.1,12.1,36.6,42,24.1,22.6,28.9,88.1,32.5
8A.4,2021-22,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Daily average,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished),no.,3467,715,3442,2565,728,154,101,1609,12782
8A.4,2021-22,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Daily average,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished),%,27.8,10.6,35.9,40.2,23.9,24,26.1,86.3,31
8A.5,2022-23,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3646,800,3607,2667,741,152,112,1766,13492
8A.5,2022-23,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1989.8,1895.8,2332,3732.6,2522.1,769.7,1901.5,3273.7,2405.9
8A.5,2022-23,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1635.6,1500.5,1885.9,3019.9,2031.4,665.2,1452.4,2694,1959.1
8A.5,2021-22,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3467,715,3442,2565,728,154,101,1609,12782
8A.5,2021-22,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1936.3,1745.5,2288.9,3671.8,2538.3,796.9,1770.3,3027.5,2335.1
8A.5,2021-22,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1590,1380.6,1847.5,2959.3,2038.4,686.7,1345.8,2474.7,1897.1
8A.5,2020-21,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3445,752,3278,2663,731,144,100,1486,12599
8A.5,2020-21,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1969.7,1892.2,2243.6,3902,2608.1,761,1812.5,2841.1,2359.4
8A.5,2020-21,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1617.3,1497.1,1809,3133,2088.7,655.3,1369.4,2304.6,1913.5
8A.5,2019-20,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3524,827,3038,2706,680,136,107,1439,12456
8A.5,2019-20,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,2064.1,2148.7,2141.2,4064.8,2486.3,733.3,1994.4,2799.6,2393.2
8A.5,2019-20,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1695.1,1701.5,1724.8,3253.6,1988.9,630.7,1500.9,2255,1938.3
8A.5,2018-19,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3387,764,2815,2693,672,127,110,1421,11989
8A.5,2018-19,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,2034.6,2050.4,2045.4,4151.8,2517.2,699.7,2128.6,2816.8,2365.5
8A.5,2018-19,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1671.8,1626.5,1644.5,3314.4,2015.5,601.1,1602.6,2255.1,1913.7
8A.5,2017-18,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3299,640,2757,2591,696,118,103,1418,11621
8A.5,2017-18,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,2032.4,1773.2,1993.4,4100.6,2675.1,667.4,2066.9,2864.9,2332.6
