Table_Number,Year,Measure,Age,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
CA.4,2022-23,Repeat offenders,Adults,Aboriginal and Torres Strait Islander people,,Adults released from prison,who returned to prison with a new sentence within two years,Aboriginal and Torres Strait Islander,Derived from State and territory governments (unpublished),%,63.6,44.9,50.5,43.9,38.1,56.2,47.1,61,54.3
CA.4,2022-23,Repeat offenders,Adults,Aboriginal and Torres Strait Islander people,,Adults released from prison,who returned to corrective services with a new correctional sanction within two years,Aboriginal and Torres Strait Islander,Derived from State and territory governments (unpublished),%,74.2,53.1,60.7,54.9,46.6,66.8,72.3,62.4,62.9
CA.4,2021-22,Repeat offenders,Adults,Aboriginal and Torres Strait Islander people,,Adults released from prison,who returned to prison with a new sentence within two years,Aboriginal and Torres Strait Islander,Derived from State and territory governments (unpublished),%,62.2,45.5,52.8,42.4,45.2,56.6,47.2,59.2,54.4
CA.4,2021-22,Repeat offenders,Adults,Aboriginal and Torres Strait Islander people,,Adults released from prison,who returned to corrective services with a new correctional sanction within two years,Aboriginal and Torres Strait Islander,Derived from State and territory governments (unpublished),%,72.8,51.7,62.5,53.4,53.2,63,77.4,61.4,62.9
CA.1,2022-23,Recurrent expenditure,All ages,All people,2022-23 dollars,Police services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,15039
CA.1,2022-23,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - criminal,Real recurrent expenditure,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,1218
CA.1,2022-23,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,927
CA.1,2022-23,Recurrent expenditure,All ages,All people,2022-23 dollars,Corrective services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,6016
CA.1,2022-23,Recurrent expenditure,All ages,All people,2022-23 dollars,Total Justice sector,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,23199
CA.1,2022-23,Recurrent expenditure,All ages,All people,,Police services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,64.8
CA.1,2022-23,Recurrent expenditure,All ages,All people,,Courts - criminal,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,5.2
CA.1,2022-23,Recurrent expenditure,All ages,All people,,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,4
CA.1,2022-23,Recurrent expenditure,All ages,All people,,Corrective services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,25.9
CA.1,2021-22,Recurrent expenditure,All ages,All people,2022-23 dollars,Police services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,14737
CA.1,2021-22,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - criminal,Real recurrent expenditure,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,1211
CA.1,2021-22,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,900
CA.1,2021-22,Recurrent expenditure,All ages,All people,2022-23 dollars,Corrective services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,5991
CA.1,2021-22,Recurrent expenditure,All ages,All people,2022-23 dollars,Total Justice sector,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,22839
CA.1,2021-22,Recurrent expenditure,All ages,All people,,Police services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,64.5
CA.1,2021-22,Recurrent expenditure,All ages,All people,,Courts - criminal,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,5.3
CA.1,2021-22,Recurrent expenditure,All ages,All people,,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,3.9
CA.1,2021-22,Recurrent expenditure,All ages,All people,,Corrective services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,26.2
CA.1,2020-21,Recurrent expenditure,All ages,All people,2022-23 dollars,Police services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,14357
CA.1,2020-21,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - criminal,Real recurrent expenditure,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,1141
CA.1,2020-21,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,873
CA.1,2020-21,Recurrent expenditure,All ages,All people,2022-23 dollars,Corrective services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,5801
CA.1,2020-21,Recurrent expenditure,All ages,All people,2022-23 dollars,Total Justice sector,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,22172
CA.1,2020-21,Recurrent expenditure,All ages,All people,,Police services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,64.8
CA.1,2020-21,Recurrent expenditure,All ages,All people,,Courts - criminal,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,5.1
CA.1,2020-21,Recurrent expenditure,All ages,All people,,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,3.9
CA.1,2020-21,Recurrent expenditure,All ages,All people,,Corrective services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,26.2
CA.1,2019-20,Recurrent expenditure,All ages,All people,2022-23 dollars,Police services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,13710
CA.1,2019-20,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - criminal,Real recurrent expenditure,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,1139
CA.1,2019-20,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,845
CA.1,2019-20,Recurrent expenditure,All ages,All people,2022-23 dollars,Corrective services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,5486
CA.1,2019-20,Recurrent expenditure,All ages,All people,2022-23 dollars,Total Justice sector,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,21180
CA.1,2019-20,Recurrent expenditure,All ages,All people,,Police services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,64.7
CA.1,2019-20,Recurrent expenditure,All ages,All people,,Courts - criminal,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,5.4
CA.1,2019-20,Recurrent expenditure,All ages,All people,,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,4
CA.1,2019-20,Recurrent expenditure,All ages,All people,,Corrective services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,25.9
CA.1,2018-19,Recurrent expenditure,All ages,All people,2022-23 dollars,Police services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,13058
CA.1,2018-19,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - criminal,Real recurrent expenditure,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,1059
CA.1,2018-19,Recurrent expenditure,All ages,All people,2022-23 dollars,Courts - civil,Real recurrent expenditure,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,782
CA.1,2018-19,Recurrent expenditure,All ages,All people,2022-23 dollars,Corrective services,Real recurrent expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,5240
CA.1,2018-19,Recurrent expenditure,All ages,All people,2022-23 dollars,Total Justice sector,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,,,,,,,,,20139
CA.1,2018-19,Recurrent expenditure,All ages,All people,,Police services,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,64.8
CA.1,2018-19,Recurrent expenditure,All ages,All people,,Courts - criminal,Real recurrent expenditure,,Derived from Australian state and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,,,,,,,,,5.3
