Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Service_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
17A.5,2022-23,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,98,10,201,63,15,4,4,48,444
17A.5,2022-23,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,19.5,9.1,46,34.6,18.8,7.3,34.6,42.9,29.8
17A.5,2021-22,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,77,10,179,81,16,3,3,50,419
17A.5,2021-22,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,15.6,9.9,41.3,45,19.5,6.2,24.8,44.1,28.5
17A.5,2020-21,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,63,10,144,73,15,3,3,31,342
17A.5,2020-21,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,12.9,9.7,33.7,41.3,18.6,6.4,24,27.3,23.6
17A.5,2019-20,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,92,16,138,75,18,5,5,23,373
17A.5,2019-20,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,19.1,15.9,32.7,42.8,23.5,9.3,43.2,20.7,26
17A.5,2018-19,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,106,19,172,96,21,5,2,35,456
17A.5,2018-19,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,22.3,18.5,41.3,55.1,28.5,8.8,15.3,30.9,32.1
